#ID;TIME;DOSE;ADDL;II;Y;YTYPE;CENS;CELL LINE;DOSE GROUP;DOSECAT;DRUG;DRUGCAT;EXPERIMENT;BW;YTV;KA;V;KE;w0;I
25;0;.;.;.;66.25;2;.;1;100;100;2;2;2;25.2;.;55;1.404;3.9103;66.25;0.0077169
25;3;2500;.;.;.;.;.;1;100;100;2;2;2;25;.;55;1.404;3.9103;66.25;0.0077169
25;4;2400;2;1;.;.;.;1;100;100;2;2;2;24.3;.;55;1.404;3.9103;66.25;0.0077169
25;7;2400;1;1;.;.;.;1;100;100;2;2;2;23.7;.;55;1.404;3.9103;66.25;0.0077169
25;9;2400;1;1;.;.;.;1;100;100;2;2;2;24.1;.;55;1.404;3.9103;66.25;0.0077169
25;11;2300;2;1;.;.;.;1;100;100;2;2;2;22.8;.;55;1.404;3.9103;66.25;0.0077169
25;14;2500;1;1;.;.;.;1;100;100;2;2;2;24.6;.;55;1.404;3.9103;66.25;0.0077169
25;16;2300;.;.;.;.;.;1;100;100;2;2;2;23.4;.;55;1.404;3.9103;66.25;0.0077169
25;30;.;.;.;107.911;2;.;1;100;100;2;2;2;26.6;107.911;55;1.404;3.9103;66.25;0.0077169
25;4;.;.;.;92.512;2;.;1;100;100;2;2;2;24.3;92.512;55;1.404;3.9103;66.25;0.0077169
25;2;.;.;.;75.712;2;.;1;100;100;2;2;2;25;75.712;55;1.404;3.9103;66.25;0.0077169
25;28;.;.;.;60.306;2;.;1;100;100;2;2;2;26.5;60.306;55;1.404;3.9103;66.25;0.0077169
25;25;.;.;.;55.176;2;.;1;100;100;2;2;2;26.1;55.176;55;1.404;3.9103;66.25;0.0077169
25;7;.;.;.;40.572;2;.;1;100;100;2;2;2;23.7;40.572;55;1.404;3.9103;66.25;0.0077169
25;23;.;.;.;39.2;2;.;1;100;100;2;2;2;25.1;39.2;55;1.404;3.9103;66.25;0.0077169
25;9;.;.;.;33.212;2;.;1;100;100;2;2;2;24.1;33.212;55;1.404;3.9103;66.25;0.0077169
25;21;.;.;.;23.275;2;.;1;100;100;2;2;2;25.3;23.275;55;1.404;3.9103;66.25;0.0077169
25;11;.;.;.;17.1;2;.;1;100;100;2;2;2;22.8;17.1;55;1.404;3.9103;66.25;0.0077169
25;14;.;.;.;10.625;2;.;1;100;100;2;2;2;24.6;10.625;55;1.404;3.9103;66.25;0.0077169
28;3;2450;.;.;.;.;.;1;100;100;1;1;2;24.4;.;55;0.12956;7.6169;62.9565;0
28;4;2350;2;1;.;.;.;1;100;100;1;1;2;23.5;.;55;0.12956;7.6169;62.9565;0
28;7;2100;1;1;.;.;.;1;100;100;1;1;2;21;.;55;0.12956;7.6169;62.9565;0
28;14;2350;1;1;.;.;.;1;100;100;1;1;2;23.4;.;55;0.12956;7.6169;62.9565;0
28;16;2250;.;.;.;.;.;1;100;100;1;1;2;22.3;.;55;0.12956;7.6169;62.9565;0
28;0;.;.;.;62.9565;2;.;1;100;100;1;1;2;24.3;.;55;0.12956;7.6169;62.9565;0
28;28;.;.;.;316.894;2;.;1;100;100;1;1;2;24.8;316.894;55;0.12956;7.6169;62.9565;0
28;30;.;.;.;294.4;2;.;1;100;100;1;1;2;25.3;294.4;55;0.12956;7.6169;62.9565;0
28;25;.;.;.;207.36;2;.;1;100;100;1;1;2;26.4;207.36;55;0.12956;7.6169;62.9565;0
28;4;.;.;.;157.696;2;.;1;100;100;1;1;2;23.5;157.696;55;0.12956;7.6169;62.9565;0
28;23;.;.;.;119.164;2;.;1;100;100;1;1;2;25.9;119.164;55;0.12956;7.6169;62.9565;0
28;2;.;.;.;112.694;2;.;1;100;100;1;1;2;24.4;112.694;55;0.12956;7.6169;62.9565;0
28;7;.;.;.;43.4515;2;.;1;100;100;1;1;2;21;43.4515;55;0.12956;7.6169;62.9565;0
28;14;.;.;.;28.0645;2;.;1;100;100;1;1;2;23.4;28.0645;55;0.12956;7.6169;62.9565;0
28;11;.;.;.;18.513;2;.;1;100;100;1;1;2;19.8;18.513;55;0.12956;7.6169;62.9565;0
28;21;.;.;.;17.92;2;.;1;100;100;1;1;2;27.2;17.92;55;0.12956;7.6169;62.9565;0
28;9;.;.;.;16.2;2;.;1;100;100;1;1;2;19.8;16.2;55;0.12956;7.6169;62.9565;0
28;16;.;.;.;13.328;2;.;1;100;100;1;1;2;22.3;13.328;55;0.12956;7.6169;62.9565;0
31;0;.;.;.;164.152;2;.;1;6.25;6.25;1;1;2;27;.;55;0.1286;7.6523;164.152;0
31;3;131.25;.;.;.;.;.;1;6.25;6.25;1;1;2;21.1;.;55;0.1286;7.6523;164.152;0
31;4;156.25;2;1;.;.;.;1;6.25;6.25;1;1;2;25.4;.;55;0.1286;7.6523;164.152;0
31;7;162.5;1;1;.;.;.;1;6.25;6.25;1;1;2;25.5;.;55;0.1286;7.6523;164.152;0
31;9;168.75;1;1;.;.;.;1;6.25;6.25;1;1;2;26.8;.;55;0.1286;7.6523;164.152;0
31;11;156.25;2;1;.;.;.;1;6.25;6.25;1;1;2;25.3;.;55;0.1286;7.6523;164.152;0
31;14;168.75;1;1;.;.;.;1;6.25;6.25;1;1;2;26.6;.;55;0.1286;7.6523;164.152;0
31;16;175;.;.;.;.;.;1;6.25;6.25;1;1;2;27.8;.;55;0.1286;7.6523;164.152;0
