#ID;TIME;DOSE;ADDL;II;Y;YTYPE;CENS;CELL LINE;DOSE GROUP;DRUG;EXPERIMENT;TUMOR SIZE;BW
129;14;.;.;.;.;.;.;1;25;1;2;253.125;28.2
129;14;700;1;1;.;.;.;1;25;1;2;253.125;28.2
129;16;.;.;.;.;.;.;1;25;1;2;226.845;27.9
129;16;700;.;.;.;.;.;1;25;1;2;226.845;27.9
129;16.20972222;.;.;.;1070;1;.;1;25;1;2;226.845;27.9
129;18;.;.;.;.;.;.;1;25;1;2;262.848;27.5
129;21;.;.;.;.;.;.;1;25;1;2;412.5105;28.2
129;23;.;.;.;.;.;.;1;25;1;2;523.45;29
129;25;.;.;.;.;.;.;1;25;1;2;571.392;29.1
129;28;.;.;.;.;.;.;1;25;1;2;746.496;30.2
129;30;.;.;.;.;.;.;1;25;1;2;760.384;30
163;0;.;.;.;.;.;.;1;25;1;2;60.025;24
163;2;.;.;.;.;.;.;1;25;1;2;78.03;25.1
163;3;625;.;.;.;.;.;1;25;1;2;78.03;25.1
163;4;.;.;.;.;.;.;1;25;1;2;127.8;24.4
163;4;600;2;1;.;.;.;1;25;1;2;127.8;24.4
163;7;.;.;.;.;.;.;1;25;1;2;119.422;24.6
163;7;625;1;1;.;.;.;1;25;1;2;119.422;24.6
163;9;.;.;.;.;.;.;1;25;1;2;117.74;24.6
163;9;625;1;1;.;.;.;1;25;1;2;117.74;24.6
163;10.41527778;.;.;.;1350;1;.;1;25;1;2;117.74;23.4
163;11;.;.;.;.;.;.;1;25;1;2;135;23.4
163;11;575;2;1;.;.;.;1;25;1;2;135;23.4
163;14;.;.;.;.;.;.;1;25;1;2;171.1125;24
163;14;600;1;1;.;.;.;1;25;1;2;171.1125;24
163;16;.;.;.;.;.;.;1;25;1;2;119.422;23.5
163;16;600;.;.;.;.;.;1;25;1;2;119.422;23.5
163;16.01111111;.;.;.;3140;1;.;1;25;1;2;119.422;23.5
163;18;.;.;.;.;.;.;1;25;1;2;140.306;23.6
163;21;.;.;.;.;.;.;1;25;1;2;194.0785;24
163;23;.;.;.;.;.;.;1;25;1;2;190.7825;24
163;25;.;.;.;.;.;.;1;25;1;2;247.7985;25.1
163;28;.;.;.;.;.;.;1;25;1;2;344.4525;24.9
163;30;.;.;.;.;.;.;1;25;1;2;451.497;26
167;0;.;.;.;.;.;.;1;25;1;2;195.201;27
167;2;.;.;.;.;.;.;1;25;1;2;288.8;27.4
167;3;675;.;.;.;.;.;1;25;1;2;288.8;27.4
167;4;.;.;.;.;.;.;1;25;1;2;341.172;27.6
167;4;700;2;1;.;.;.;1;25;1;2;341.172;27.6
167;7;.;.;.;.;.;.;1;25;1;2;569.2445;28.2
167;7;700;1;1;.;.;.;1;25;1;2;569.2445;28.2
167;9;.;.;.;.;.;.;1;25;1;2;600.25;28.3
167;9;700;1;1;.;.;.;1;25;1;2;600.25;28.3
167;11;.;.;.;.;.;.;1;25;1;2;600.25;26.6
167;11;675;2;1;.;.;.;1;25;1;2;600.25;26.6
167;11.00208333;.;.;.;0.952;1;1;1;25;1;2;600.25;26.6
167;14;.;.;.;.;.;.;1;25;1;2;689.0625;26.6
167;14;675;1;1;.;.;.;1;25;1;2;689.0625;26.6
167;16;.;.;.;.;.;.;1;25;1;2;817.216;27.4
167;16;675;.;.;.;.;.;1;25;1;2;817.216;27.4
167;16.02291667;.;.;.;3000;1;.;1;25;1;2;817.216;27.4
167;18;.;.;.;.;.;.;1;25;1;2;970.0285;26.8
167;21;.;.;.;.;.;.;1;25;1;2;1094.4;28.7
167;23;.;.;.;.;.;.;1;25;1;2;1284.4;28.5
167;25;.;.;.;.;.;.;1;25;1;2;1428.768;29.2
167;28;.;.;.;.;.;.;1;25;1;2;1414.485;29.6
167;30;.;.;.;.;.;.;1;25;1;2;2083.401;28.9
31;0;.;.;.;.;.;.;1;6.25;1;2;164.152;27
31;2;.;.;.;.;.;.;1;6.25;1;2;191.558;21.1
31;3;131.25;.;.;.;.;.;1;6.25;1;2;191.558;21.1
31;4;.;.;.;.;.;.;1;6.25;1;2;451.25;25.4
31;4;156.25;2;1;.;.;.;1;6.25;1;2;451.25;25.4
31;7;.;.;.;.;.;.;1;6.25;1;2;478.325;25.5
31;7;162.5;1;1;.;.;.;1;6.25;1;2;478.325;25.5
31;9;.;.;.;.;.;.;1;6.25;1;2;487.35;26.8
31;9;168.75;1;1;.;.;.;1;6.25;1;2;487.35;26.8
31;10.10347222;.;.;.;848;1;.;1;6.25;1;2;487.35;25.3
31;11;.;.;.;.;.;.;1;6.25;1;2;568.458;25.3
31;11;156.25;2;1;.;.;.;1;6.25;1;2;568.458;25.3
